Genes,C5_a,C5_b,C5_c,C5_d
GENE1,906.859682895868,1007.16112365674,866.569965391121,796.86120568091
GENE2,768.4742402536,931.01679363504,851.689995586594,992.436294479441
GENE3,834.488188669873,1033.23164783197,827.11789201511,890.59076073535
GENE4,1009.09605503364,899.233266669711,941.187250664358,858.433135855013
GENE5,873.261194230281,809.749688760276,937.514010111369,819.120917622061
GENE6,1054.37569442539,937.096874875732,979.456891840062,921.790155252465
GENE7,934.167329628314,855.283378868072,1054.35891795249,767.306296285856
GENE8,928.627555662025,968.777838384614,717.316510695014,869.588813997154
GENE9,672.378832270609,1006.31122476549,1069.00971679714,912.281752052544
GENE10,714.354861140416,1032.91371101322,1112.79896890504,1025.45341987648
GENE11,814.866773346733,951.754705278177,893.500511380459,705.900082128232
GENE12,1120.77157427378,995.741738867034,1007.61390625857,848.652724846527
GENE13,878.408601447894,808.773544388775,978.545617954204,860.786566725899
GENE14,879.903409675013,750.957437464605,1009.95416638178,902.510108359281
GENE15,979.764326504202,843.273829818907,761.294264456152,788.127085238629
GENE16,1005.38208382741,736.51108784729,795.559268148001,680.393926737131
GENE17,787.400630756201,1051.47895169468,837.757603737027,846.74394384831
GENE18,988.735341935524,1147.25425030278,806.404430073592,816.669136211593
GENE19,860.449261200272,928.647086360505,966.173230080981,836.556098382885
GENE20,823.70429891895,688.080734903411,888.690855595426,891.354423923397
GENE21,931.351625574036,874.047865997521,1038.10017650123,852.816667933386
GENE22,712.395197381332,1213.8288642768,845.456595527942,960.14381446139
GENE23,748.303627657329,925.319418016239,959.752104234634,1099.62936384288
GENE24,826.386114680509,943.693360427515,885.581695782659,1064.52842433208
GENE25,992.92130799535,1018.72773032113,937.374637297618,710.998650402085
GENE26,920.146876075841,897.088059429981,817.47958411919,761.445523950451
GENE27,994.355388813271,875.555990554653,1053.70013646741,812.574688084665
GENE28,868.085455054692,1009.49624728608,1041.92698393505,882.529312792939
GENE29,943.00735810583,1037.25067240222,842.680827425794,758.479838134083
GENE30,934.260732893244,1180.48404949849,895.349372541388,843.181943717356
GENE31,704.192486758439,960.038751827737,891.557439078223,879.262683604461
GENE32,756.763847335027,736.872685769056,979.527685038411,852.336510415718
GENE33,736.06651631058,975.416356825047,972.002259930571,885.476674541921
GENE34,696.715045216715,822.429429438576,759.552531399538,925.998345347927
GENE35,770.588197112254,955.399656168447,878.663095553368,989.397846982565
GENE36,970.325914590392,901.086680303019,849.20051593127,759.735141785299
GENE37,819.941585536945,992.32817591864,1040.49210805615,919.721562891402
GENE38,1106.13958677945,803.113187400826,1127.36138211181,816.534321386647
GENE39,1068.756011049,935.559009005138,1094.71502868383,1044.40060882754
GENE40,914.35813310294,1039.63427184327,935.098531283716,767.632201875314
GENE41,944.240996449245,696.430127123623,870.821636063304,789.155525145827
GENE42,896.307767091184,767.180162839681,879.04084892999,957.264126058956
GENE43,834.981721250984,915.530326731028,965.033720518259,978.248781720936
GENE44,897.239285563042,1165.90087079608,754.276886660315,628.001125897869
GENE45,843.911266649568,999.330976228933,1065.40054954657,869.46438868667
GENE46,812.486856168009,936.991247972567,904.791890810245,1076.61903761968
GENE47,940.250215164218,939.930323100101,1054.93061903915,625.567927535827
GENE48,1034.68206704096,892.92865801979,1008.38832278155,1129.05230260771
GENE49,977.368366837661,879.645299256303,910.693541334445,691.202770920019
GENE50,837.115191574879,905.097444004752,890.821543310939,943.720417806922
GENE51,977.258168639729,936.64498452243,966.76567576785,1048.92877905211
GENE52,1013.67524884101,926.277527718776,868.533601389364,757.610982919053
GENE53,902.866263724341,707.514109625548,1130.14770100553,592.82005553322
GENE54,1149.87379999644,882.578365579855,862.748791749141,913.019220196985
GENE55,1134.30251671967,848.724415227844,832.102020112988,782.529277412933
GENE56,1068.86705882602,829.22659698427,972.203952890698,1036.89932068748
GENE57,657.554862591567,891.42868137648,921.979954829175,841.995900091729
GENE58,773.621144717801,731.046551334995,703.545416836852,981.423227117876
GENE59,756.110040551873,880.850482857022,945.634566718354,959.09283001199
GENE60,846.143087733264,930.104023923711,908.572789890823,779.990649454339
GENE61,838.375174353602,948.44425830341,740.659949722677,905.21940218389
GENE62,857.791073691944,789.381146690668,935.137194235113,726.2910837392
GENE63,1188.15593685678,648.736734100923,1079.34257179756,951.576058014856
GENE64,691.561940570065,862.985487485215,924.152790853244,1040.80697687804
GENE65,943.921353334481,972.388927377165,873.735441878196,770.396343745161
GENE66,1092.4394702253,834.122647391956,936.503664861203,1061.07143785659
GENE67,774.212573487492,982.587876720894,965.065611479999,812.457219382605
GENE68,763.178898333092,892.252159115897,794.909627281872,914.098188385675
GENE69,968.102968368439,928.981527379578,921.374172940865,851.983537774952
GENE70,1002.96421022248,881.958625182442,770.723058962706,791.029452615729
GENE71,768.60986703514,1070.13596764836,959.312850930083,993.089111510805
GENE72,1033.15882154405,871.348857009815,803.946720343175,1061.83564958351
GENE73,1007.01181833731,815.049824505095,1064.96154760281,816.484533004356
GENE74,847.942137131912,778.381589134209,1045.81437812623,821.80045028136
GENE75,886.921838484803,812.364963065441,1088.19941012561,923.425505661019
GENE76,930.771147170414,829.127110727387,963.033455301702,1124.13193989907
GENE77,869.793367701582,896.201908124498,925.744663074008,1087.69583065142
GENE78,822.318144997843,916.008830445317,739.417321487766,958.286212216822
GENE79,815.542578529797,902.463751883646,969.108907267424,815.936370262174
GENE80,726.114692767124,705.803671413267,772.771050907372,958.956806252672
GENE81,786.738217731907,815.496961968381,934.317387452642,1166.89823801342
GENE82,931.87036037873,1008.72017548964,1005.3547492193,940.250156110836
GENE83,798.587935863426,919.411262913231,927.758760211394,925.403209720819
GENE84,1039.67671569724,874.098047389171,727.564258920339,790.737352127704
GENE85,1250.15162584807,924.23765260326,1047.83346511544,858.609683218695
GENE86,983.820933238193,672.842241402852,870.639038204232,1016.29547011046
GENE87,800.430383030784,703.944138014635,1088.34118005516,891.239140224691
GENE88,955.560976777127,1029.59486905933,813.294042084918,898.147437442333
GENE89,941.397310530453,833.004826954739,931.712218765391,832.065517236529
GENE90,1028.62552243981,872.770969199395,905.493592278944,1119.67346534178
GENE91,974.624902021767,793.749205577862,1144.97591736399,914.058123412095
GENE92,951.993204393884,856.422970096443,816.622357724565,833.402518975096
GENE93,805.129496072741,975.758848536045,827.459520546973,931.964821018631
GENE94,926.436080242583,761.512924624339,1068.74468544509,941.370067487029
GENE95,961.820167237691,924.600399812163,997.577719055667,933.771969330347
GENE96,922.590504214787,898.295401222989,1153.3691726905,821.617486854338
GENE97,880.016937840074,878.985513447206,798.488743944349,815.894213135964
GENE98,823.709584424097,1002.23329532556,962.999251473926,1081.36933538762
GENE99,889.079823915209,980.877485603444,915.579444812434,1040.19106479018
GENE100,981.902196779234,941.873725937439,892.371085054338,787.844873926946
GENE101,872.630076917328,729.408997170098,956.118735415114,811.901392280058
GENE102,1010.52641848166,1028.45701231464,1071.94761921881,947.178734775546
GENE103,931.635555728627,1076.43397217386,1046.62523234723,949.385648176307
GENE104,748.185052120465,892.764313164505,775.826762133251,803.485180908717
GENE105,855.940416757744,1090.29907796988,914.479228727438,950.437095146963
GENE106,954.362665179755,906.068106557902,977.555959749947,969.367482845914
GENE107,1044.94787222688,1016.54935020384,985.367292007428,788.198379187351
GENE108,1010.91634127485,783.916374384286,1028.63243089371,904.088645232941
GENE109,816.292116040181,1085.68447226176,1112.8056727347,706.205150820411
GENE110,869.074576558128,944.194979617857,984.675124619521,1105.13085409273
GENE111,814.11797163224,1015.01480726996,956.919543060891,1095.67623085952
GENE112,1017.49444686615,866.322056702385,894.634738007842,1076.28745095708
GENE113,976.39057434103,1030.31557762104,844.188824636645,791.207250487616
GENE114,984.43861022675,732.959403122684,964.042008712775,1051.36134110341
GENE115,842.069957096727,961.863416161818,1169.0117096967,1073.71524461039
GENE116,948.231579378403,977.907654843018,897.508358241986,922.683835803768
GENE117,740.575114914448,1085.18186460829,799.070077106646,927.095645327171
GENE118,885.558825687788,905.792495440658,843.43985980988,1101.31931477014
GENE119,938.36247064478,905.720211010999,747.790473849257,836.246175624139
GENE120,845.980886032337,1082.72180658052,963.893053760669,1009.0120812625
GENE121,768.292556752236,918.081878425465,851.949300121123,907.736826895067
GENE122,863.740113310264,788.506332068378,949.84796760359,879.617430410582
GENE123,906.71447087101,875.843930021428,882.04323151668,855.629355400156
GENE124,922.368393244469,949.934974357431,755.474123295983,903.89927050865
GENE125,959.608786755592,921.491898088957,991.119933043423,937.514334580632
GENE126,915.517010227856,870.680446837915,933.235798859322,818.719232486986
GENE127,990.386414229991,809.568820521397,932.284707616722,964.058572665479
GENE128,907.038837733478,894.550880547706,863.406902290252,958.09240709498
GENE129,883.705207475727,1156.12684804489,796.992665396367,953.549441096013
GENE130,981.863010176088,929.698672099301,921.378189009815,935.12049883458
GENE131,1005.50317093158,968.897464926541,846.225223392108,938.124073945524
GENE132,1058.79296959567,769.598120176126,955.559439123947,908.595517952713
GENE133,918.278494192548,863.380477644563,682.44049672998,799.889757122417
GENE134,837.208473727072,788.948725381963,946.969898258375,1054.71921655202
GENE135,850.661741098591,700.631268988866,992.450225322947,703.687732085187
GENE136,1046.9614915846,877.594582487899,934.131288495627,957.828883805853
