Genes,C1_a,C1_b,C1_c,C1_d
GENE1,970.872247042363,624.64495052329,955.90222801438,699.729228243541
GENE2,598.399316722415,550.820565630638,531.650086197915,701.262761644921
GENE3,658.149420340018,656.802697271781,1105.88505191291,626.884335165557
GENE4,720.180153086055,661.46541383976,602.228180243706,502.497393288234
GENE5,702.346855251785,653.730466450667,753.931971790445,883.786324132921
GENE6,775.25738362825,1169.91816882496,371.031856899647,595.061790628638
GENE7,810.87623266969,827.485499051153,597.990140684797,1000.18321411539
GENE8,316.889831672415,680.620140296885,656.843698690817,550.514638086416
GENE9,511.567648090634,713.148009592673,684.06282343977,630.205510695475
GENE10,1027.47798846543,654.085761247963,794.362689772552,883.541726891324
GENE11,263.273026053958,643.337213897666,553.26089996553,767.947615837293
GENE12,861.222014943832,663.597154224619,410.253497067089,791.416907476992
GENE13,468.240040463711,520.983956068795,763.860085395523,890.420808750156
GENE14,977.391086417789,684.550395811737,564.782305251259,689.411178667013
GENE15,629.236644244624,747.532206169613,748.967099278789,919.007958357618
GENE16,801.396337649149,457.936997608675,382.262460357142,943.433773710182
GENE17,717.573907786951,914.01682848082,687.069844095264,960.885047697109
GENE18,832.114704645442,604.713155015484,632.303966459498,375.473503109844
GENE19,673.872687369795,381.698256137856,639.964432715444,796.922756001458
GENE20,757.366755291438,851.154608759242,609.581469685225,593.879491545124
GENE21,627.744065491051,699.503423723408,763.509842460764,838.095012438253
GENE22,932.284644539031,586.983734685871,503.878867930832,778.734395028462
GENE23,546.712208280198,590.177660327576,696.263941241409,638.544462549507
GENE24,719.17066406185,632.70453505978,766.052140551541,653.29850448083
GENE25,925.399496459646,703.108051928845,983.933094705051,862.207278848941
GENE26,673.574685414193,621.685597196225,564.026301720137,603.138472979667
GENE27,853.615817499483,618.111229862329,867.919646875721,886.995254678999
GENE28,728.359252009563,670.01749289589,526.881230773129,1020.78723770216
GENE29,570.030323560125,438.975225281486,666.932409779157,752.232517707846
GENE30,855.606723993468,653.908372120158,709.240254164175,845.915134077801
GENE31,519.089942924694,743.584984023203,991.18820048884,804.169215247281
GENE32,878.025989535811,821.906736996646,436.96706618002,585.962404653291
GENE33,733.69929286577,495.31806227602,647.284468967916,555.365597405936
GENE34,463.616064097009,655.923472936012,558.41952638234,491.418826518079
GENE35,589.399662677517,599.732292637298,485.970422942702,627.749863687843
GENE36,903.470734055209,850.673893653909,760.131399647405,822.393826419297
GENE37,741.942185716789,380.058906378535,530.310321593611,917.122908547743
