Genes,C2_a,C2_b,C2_c,C2_d
GENE1,614.101944596481,660.325265713414,563.211127748236,945.45518290072
GENE2,872.53271162092,735.095206962543,529.722691691229,908.188501986515
GENE3,678.824841134105,622.520638089372,521.60989764157,710.911739739277
GENE4,480.471463052729,729.631302742823,987.218576717126,710.952271552852
GENE5,638.746938771701,593.103902068156,455.83179126294,688.6994219053
GENE6,772.161203256467,737.633772469628,669.359086061716,856.739378192335
GENE7,469.160242801702,724.898920531443,415.339940208447,620.192244080356
GENE8,714.386709179757,619.806511026602,1023.04283921298,640.984833479996
GENE9,940.831193922866,943.795613933985,572.424800970349,506.803556820341
GENE10,806.757212248245,494.604015630391,612.677149005394,673.568207105891
GENE11,1007.06444772006,354.815759168533,1139.6500179843,605.722873914763
GENE12,418.097162471377,699.573591549025,729.794219368297,652.877514666575
GENE13,588.597512737365,857.209397111794,800.74238585025,825.735859754729
GENE14,640.052700540864,817.83769002219,520.146678320164,670.428308431344
GENE15,1162.76139100408,848.055535202658,642.462166156422,723.078432424978
GENE16,740.434689868597,1057.01241164307,864.116419143529,722.272842500867
GENE17,1084.42700785982,986.057783839173,930.339024542865,822.318304979289
GENE18,676.689020323584,622.654440619243,675.367373551844,810.386078464822
GENE19,639.048110245554,559.50019858386,916.661990601076,795.641622305216
GENE20,501.921623289022,172.656890445984,500.076430379941,639.740641078445
GENE21,829.305915206473,718.943662239849,1097.55036383917,522.831004183287
GENE22,556.499862064774,652.857517775132,906.060747310138,670.289795218491
GENE23,539.398769638015,631.617436147852,721.428102739352,669.023193669018
GENE24,894.41828636098,750.546275626985,463.596872129112,434.844139633227
GENE25,469.774970083166,634.688725954601,924.225340036177,294.649367644702
GENE26,743.064203672991,582.884765725363,715.460898325778,627.728828327889
GENE27,730.78790384098,426.306976766357,681.822736917099,561.63883137641
GENE28,445.097086500021,669.778020554872,824.334788198986,794.178095308548
GENE29,806.1328594443,740.411730343024,520.87093177104,558.543857465302
GENE30,676.101891205817,545.509662364258,696.145307527193,712.888668541821
GENE31,790.593744740337,690.779589430401,608.280639707332,785.87819081469
