Genes,C4_a,C4_b,C4_c,C4_d
GENE1,458.464496761478,991.416634912842,406.031227066936,164.001323865071
GENE2,162.400887578896,600.798644339271,631.548597527518,378.607147123202
GENE3,538.602352163685,290.305481586936,935.810816647822,529.960500478946
GENE4,779.496339626173,283.683328130222,685.737362042216,479.658463831284
GENE5,705.890667416322,434.714018555817,88.8791848164633,701.577426684455
GENE6,264.466478019474,549.077291429643,608.302342051502,384.987685184243
GENE7,437.274545061716,767.188119821805,526.070928474217,457.275568169931
GENE8,374.485665892945,551.369966387796,204.913232174785,734.985973972733
GENE9,1393.08556674753,451.941987059344,379.792643030719,714.097489669624
GENE10,748.435248129571,433.482369411479,651.13292577341,425.283127306361
GENE11,658.221408303708,1183.49304013552,426.169869032514,1070.48882149571
GENE12,571.310100766027,490.666198949353,575.424149798639,470.074696189366
GENE13,534.114219058627,1131.83541548313,247.199452985083,283.32559494989
GENE14,975.83606341117,645.623984313691,583.071769803353,641.247296479723
GENE15,529.638884486616,289.538207786941,735.459446125094,231.56699001726
GENE16,647.029627092933,519.818503515019,332.958481174655,782.13105183185
GENE17,343.732708100437,1044.81870545775,170.390781987264,531.396474232865
GENE18,528.697129789422,407.893247394339,905.190308396392,177.104198460729
GENE19,687.747144124571,693.290715922747,1057.90311527935,943.236091157318
GENE20,832.152441550549,1017.67235204384,601.576498316018,529.106371210261
GENE21,1022.9811774593,681.242012499075,964.108066155022,763.693298296713
GENE22,544.391779457497,399.426901010755,-117.769494724638,1206.25503904256
GENE23,275.086017850625,760.090729511818,23.4101485787789,142.467137475288
GENE24,510.724189146019,672.233053204024,1144.66858953274,402.125875186732
GENE25,475.957383457944,682.728561138809,783.245079354354,752.419455631178
GENE26,594.958835132812,608.905026520324,728.130962824767,1292.66414072409
GENE27,559.767456295317,291.196826450333,744.017120232251,550.818220536632
GENE28,581.251259232442,363.855711076586,873.563060320961,926.61947123599
GENE29,657.185444565862,861.424718327728,443.974466930255,547.570648202599
GENE30,766.172441176132,469.852367512691,309.648946044539,1038.02325851018
GENE31,262.212330686813,857.016476343791,448.116450157342,383.745959570338
GENE32,269.842273120357,736.804618279295,324.536134953576,390.132142199794
GENE33,1089.11514276508,689.942354851308,747.151098980848,681.929460917375
GENE34,635.950522163085,535.473449122709,962.223419066515,624.494211235364
GENE35,20.6070293937648,-268.67573881868,616.85525269186,69.3449363404697
GENE36,249.984932760555,262.239454883227,599.023826545846,426.591798984365
GENE37,584.250364027408,584.454872393776,8.50821890964949,816.253997918776
GENE38,527.242376262916,622.748101318183,416.593489570896,650.544220629083
